platform,content_clean,date
抖音,王老吉已进入外国市场,2025-08-27
B站,第一次喝的时候发出的感慨：比我的命都苦 现在一上火就去买来喝，喝一次感慨一次,2024-08-28
B站,这种人可能真的不懂是蠢，也可能是装作不懂，当年加多宝能在短期内维持销量是因为掌握地方经销商跟地推渠道，无下限的压榨基层业务，工作时间任务量各种加码。而广药除了 王老吉 这个名号几乎什么都没有，再看看现在加多宝什么鬼样子大家就懂了，这人不是蠢就是装蠢，所以就是蠢啦。,2023-06-06
抖音,当年加多宝要是同意给广药更多的授权费，然后达成协议，加多宝只能卖凉茶一款“王老吉”，广药则只能卖凉茶以外的产品的“王老吉”，现在王老吉这个商标会不会继续辉煌,2023-06-23
B站,谁还记得当初网上那个梗？要喝就喝加多宝，要捐就捐一个亿。 汶川地震的时候，捐款一亿的是加多宝，可不是王老吉,2025-10-25
抖音,还记得电视上 上一个广告是 红罐凉茶改名为加多宝 下一个就是王老吉的 从未改名 笑死,2023-07-10
知乎,鸿道集团是通过一亿捐款让凉茶迅速出圈的,2023-05-29
知乎,我四川的，加多宝捐一个亿才是当时营销爆火的原因。你是一个字不提啊。而且他开了个好头，在他之前没多少企业捐款。后来遇到天灾人祸，好多企业在晚会捐款。,2024-09-22
知乎,和其正又是怎么回事,2024-09-13
知乎,现在好像都没有加多宝了,2023-05-26
知乎,从你这篇文章里，我还是看出来广药占理，商标到期了要收回，天经地义,2024-09-14
B站,大湾区小颗粒来啦 首先希林的全运会推广曲 平凡的力量 很好听满满正能量！家人是做全运会保障工作的，每天加班必须喝点王老吉清爽一下,2025-11-21
B站,不苦又怎么敢称自己是凉茶呢，能不能出一款保留一点苦涩味,2024-07-18
知乎,但是总感觉加多宝没王老吉好喝,2024-09-13
知乎,一路下来，广药都是合法的。鸿道确实心有不甘，但在合作之初，确实没想到品牌能大爆。,2024-09-13
知乎,想多了，只不过是凉茶风味饮料罢了,2024-06-07
抖音,就爱喝王老吉，过年亲戚来拜年，能买七八箱王老吉过来，有时候一天我一个人都能喝半箱,2024-10-10
知乎,我昨天喝的加多宝也是红罐啊,2023-07-14
知乎,可我买的加多宝还是红罐啊,2023-05-26
知乎,因为工作原因，经常接触王老吉那帮人。设备验收的时候，各种挑刺，鸡蛋里调骨头，没问题也想办法挑刺的那种。王老吉，要求罐体的划伤率，不能高于万分之三，而他们为了节省成本，自己的罐子，漆又非常薄。导致了，你不把设备用砂纸磨半个月，就别想通过。不通过，就不让你生产。 另外，王老吉的驻厂代表，一个个的都是大爷，吊的让人想揍他们。,2023-05-29
B站,朱军 周涛 李咏 王老吉凉茶 撕 朱军 周涛 李咏,2025-01-05
B站,啊啊啊王老吉，竟然还有全运会主题的王老吉 全运会氛围直接拉满！在现场边看比赛边炫王老吉，不要太爽 一键三连，求希林抽签名照 ，祝王老吉红红火火，销量长虹,2025-11-21
B站,别扯淡这不是凉菜这就是她妈的甜水，正经凉茶你凉了它们都没凉,2025-06-21
知乎,啊，但是我觉得现在的王老吉很好喝啊，加多宝也还行但稍微差点，然后还有一个和其正属于难喝的境界,2025-02-08
B站,加多宝工厂都停产了 你说你NB在哪里？,2023-06-06
B站,王老吉罐装的甜度隔一段时间都会不一样，有没有谁的感觉和我一样,2025-06-20
知乎,我站广药，鸿道明显是不想带广药玩了，才疯狂切割,2025-02-03
知乎,广药直接摘果子啊！,2023-05-26
B站,硬要喝凉茶的话，我选择喝罗汉果哈哈哈,2023-11-15
知乎,加多宝现在不是红色罐子吗,2023-06-09
抖音,國货王老吉，真不錯，支持走出國门。,2025-11-13
知乎,你看，这篇文章的目的不就达到了。终于明白问什么在文章前面反复强调国企效率低，这是家国企。反复强调加多宝是私企，老板多勤劳，原来就是要做到这样的效果。不客气的说，这很“林先生”。,2023-05-26
知乎,有一说一加多宝太甜了，甜得发腻了,2023-05-26
B站,大伙看个乐就行了 凉茶正常来说是要趁热喝的，而且不用怀疑，这就是中药汤 对症下药的，没啥事别乱喝,2025-03-19
B站,王老吉现在贴牌产品太多了，不敢买了，喝起来味不对,2025-08-21
B站,我带河北的大学同学去喝凉茶，他喝的还是味道没那么重的清热的凉茶，他喝一口凉茶脸直接快扭成一团了，就着甘草柠檬喝还吃不惯甘草柠檬，他喝完感觉要哭了，泪都出来了，后面去吃麦当劳他都不敢打嗝，他说一打嗝那个味道一上来他就感觉要吐了,2024-08-25
知乎,广药集团真厉害,2024-09-12
知乎,看完之后虽然我知道加多宝是是不对的，不过精神可嘉呀，人家告一次就想一个法子出新思路打新广告，求生欲是真的很强呀。,2023-05-29
知乎,全国领先的法律团队 广药集团,2024-09-13
抖音,有很多超市都没有卖王老吉的,2025-11-13
知乎,本来就是姓陈的贪得无厌，通过王老吉品牌已经赚的头肥脑涨的了，还通过行贿的方式低价租商标，最后东窗事发！一切都完了。如果愿意加点钱继续商标续约怎么会鸡飞蛋打！,2023-05-26
知乎,先给广药戴个帽子还是你会啊,2023-06-16
知乎,现在加多宝还不是红罐？,2023-08-26
B站,我一度以为王老吉变成了饮料界的南极人,2025-07-12
抖音,王老吉没有从自身产品方面去定位，而是定位在目标用户心智当中，我们都怕上火啊，吃火锅怕上火，熬夜怕上火，怕上火就是我们心智里面已有的认知。,2025-04-21
