等级,结论,数值,依据notebook,样本量,限定条件
L1,爬虫数据离题率极高：2023+ 有半数评论不谈这个品类,50.3%（2012-2022 为 38.8%）,"01,02",523,MediaCrawler 按关键词抓帖后抓整个评论区所致；判定用 13 个品类核心词，换词表会小幅波动，量级不变
L1,不筛离题会导致平台口碑排序翻转：抖音由「最正面」变为负多于正,抖音正面 52.8% -> 37.8%；B站 36.3% -> 42.4%,02,523 -> 260,抖音离题部分几乎全为 p_pos≈0.98 的广告灌水；结论是排序方向，非具体百分点
L1,句向量把 TF-IDF 的不稳定聚类救成稳定聚类（表示方法是关键，不是调参）,ARI 0.0392 -> 0.9196；零相似文档对 81.9% -> 0.0%,"03,03b",253~260,n_init=1 三 seed 平均 ARI；TF-IDF 出现负 ARI（差于随机）
L1,句向量 K=2 的两簇有干净的语义分离：产品体验 vs 品牌商战,甜度口味 30.6% vs 1.4%；功效上火 29.8% vs 7.9%,03b,121 / 139,话题桶交叉验证；簇与文本长度(p=0.0008)和平台(p=0.0004)亦显著相关，非纯语义划分
L1,「包装设计」话题显著负向，是口碑主要拖累项,净情感 -32.5（正 22.5% / 负 55.0%）,"04,05",40,净情感 = 正面%−负面%；剔除活动引导内容后计算；关键词桶对长评论有过度归属
L1,「竞品商标」话题显著负向，是口碑主要拖累项,净情感 -29.2（正 25.5% / 负 54.7%）,"04,05",106,净情感 = 正面%−负面%；剔除活动引导内容后计算；关键词桶对长评论有过度归属
L1,原 比赛.ipynb 的全部图表数字为手写常量，无数据通路,原「情绪分布」352/287/361 硬编码；真实负面率约为其 1.6-1.7 倍,"01,02",—,静态核查：read_csv=0、jieba 调用=0、停用词表=0、词云频率来自 np.random.randint
L2,整体口碑负面多于正面,正面 33.2%  负面 46.6%  中性 20.2%,"02,05",253,"绝对百分点对中性带高度敏感（带宽 [0.45,0.55]→[0.25,0.75] 时中性 6.5%→35.4%）；且 BERT 为大众点评微调、对陈述句有负面偏置。可引用方向，不可引用点值"
L2,「功效上火」话题负向,净情感 -15.9,"04,05",44,n=44 刚过门槛；剔除活动引导内容后净情感由 -8.5 降至 -15.9，说明对少量样本敏感
L2,「甜度口味」情感接近中性、略偏正 —— 信号很薄,净情感 +2.6,"04,05",39,39 条中只有 11 条是「只谈甜度」（其余同时在谈商标/包装），纯样本 11 < 20；净情感仅 +2.6，在噪声范围内
L2,句向量聚类结构真实但偏弱，且只支持二分,silhouette 0.1617（TF-IDF 为 0.0581）,03b,260,轮廓系数 0.1617 过本项目预设止损线 0.10，但低于行业惯例「结构合理」区间 0.25-0.5；K=3~6 轮廓系数反而更低，给不出四维细分
L2,讨论重心从商标官司转向产品与国际化,竞品商标 64.4%→40.8%；国际化 0.9%→5.4%,02,479 相关集,竞品商标降幅可靠；国际化升幅的绝对量极小（见 L3），只能作为趋势方向，不能量化出海声量
L3,✗「国际化/出海」话题的情感与声量,不可用,"04,05",14 -> 有效 7,14 条中 7 条为 B 站抽奖应援活动引导内容（逐字复制官方口号+「一键三连」「抽我」）；剔除后仅 7 条，且含 2 条一句话。扩到全年份仍仅 16 条。原「78.6% 正面 / 0% 负面」是活动买量造出来的
L3,✗「价格/性价比」话题,不可用,04,5,n=5，远低于门槛 20；扩到全年份仅 9 条。价格敏感度这批数据完全无法支撑
L3,✗「怀旧广告」正向结论（曾被列为 L1 候选，本次推翻）,+16.7 -> -8.7,"04,05",30 -> 23,含活动引导内容时净情感 +16.7，剔除 7 条代言应援帖后翻转为 -8.7（变化 -25.4）。张凌赫代言帖含「广告/代言」关键词而落入该桶。方向被单一活动主导，不可引用
L3,✗ 任何「话题 × 平台」层级的结论,不可用,04,21 格中 18 格 <20,话题按平台拆分后 86% 的格子低于门槛；最大单格为竞品商标×知乎 n=80，其余重点话题格子多为个位数
L3,✗ 原 比赛.ipynb 产出的全部 PNG 与其数字,不可用,01,—,Desktop/新建文件夹 (2) 的 6 张图（情感分布/品牌提及率/产品特性雷达图/话题变化趋势/国际罐各维度评价/词云）与 Desktop/比赛 的 2 张图，全部基于手写常量或 np.random，与 1108 条真实数据无通路。本项目未复制、未引用，仅作为对照记录
L3,✗ TF-IDF 聚类的任何簇结论,不可用,03,260,"轮廓系数 0.0581（≈0），n_init=1 时三 seed 两两 ARI 出现 -0.073/-0.082，差于随机；簇规模在 [187,73]→[238,22] 之间漂移。保留仅作表示方法对比证据"
